key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
13128,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-20259,Toko Ekambi,Karl,12,forward,FW
13129,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-06117,Choupo-Moting,Eric Maxim,13,forward,FW
13130,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-63923,Gouet,Samuel,14,midfielder,MF
13131,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-29115,Kunde,Pierre,15,midfielder,MF
13132,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-70357,Epassy,Devis,16,goal keeper,GK
13133,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-80930,Mbaizo,Olivier,17,defender,DF
13134,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-34633,Hongla,Martin,18,midfielder,MF
13135,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-47677,Fai,Collins,19,defender,DF
13136,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-39394,Mbeumo,Bryan,20,forward,FW
13137,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-59303,Castelletto,Jean-Charles,21,defender,DF
13138,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-62618,Ntcham,Olivier,22,midfielder,MF
13139,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-67127,Onana,André,23,goal keeper,GK
13140,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-02759,Ebosse,Enzo,24,defender,DF
13141,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-55367,Tolo,Nouhou,25,defender,DF
13142,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-25904,Marou,Souaibou,26,midfielder,MF
13143,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-94317,St. Clair,Dayne,1,goal keeper,GK
13144,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-12635,Johnston,Alistair,2,defender,DF
13145,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-55821,Adekugbe,Sam,3,defender,DF
13146,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-31806,Miller,Kamal,4,defender,DF
13147,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-89710,Vitória,Steven,5,defender,DF
13148,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-65386,Piette,Samuel,6,midfielder,MF
13149,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-28794,Eustáquio,Stephen,7,midfielder,MF
13150,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-32574,Fraser,Liam,8,midfielder,MF
13151,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-58061,Cavallini,Lucas,9,forward,FW
13152,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-35706,Hoilett,Junior,10,midfielder,MF
13153,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-96259,Buchanan,Tajon,11,forward,FW
13154,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-83822,Ugbo,Iké,12,forward,FW
13155,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-03472,Hutchinson,Atiba,13,midfielder,MF
13156,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-72399,Kaye,Mark-Anthony,14,midfielder,MF
13157,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-85670,Koné,Ismaël,15,midfielder,MF
13158,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-61949,Pantemis,James,16,goal keeper,GK
13159,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-01925,Larin,Cyle,17,forward,FW
13160,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-46263,Borjan,Milan,18,goal keeper,GK
13161,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-46358,Davies,Alphonso,19,forward,FW
13162,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-48340,David,Jonathan,20,forward,FW
13163,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-27541,Osorio,Jonathan,21,midfielder,MF
13164,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-42390,Laryea,Richie,22,defender,DF
13165,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-00809,Millar,Liam,23,midfielder,MF
13166,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-49915,Wotherspoon,David,24,midfielder,MF
13167,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-21099,Cornelius,Derek,25,defender,DF
13168,WC-2022,2022 FIFA Men's World Cup,T-12,Canada,CAN,P-71727,Waterman,Joel,26,defender,DF
13169,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-81392,Navas,Keylor,1,goal keeper,GK
13170,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-57150,Chacón,Daniel,2,midfielder,MF
13171,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-65777,Vargas,Juan Pablo,3,defender,DF
13172,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-80986,Fuller,Keysher,4,defender,DF
13173,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-11767,Borges,Celso,5,midfielder,MF
13174,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-97912,Duarte,Óscar,6,defender,DF
13175,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-02556,Contreras,Anthony,7,forward,FW
13176,WC-2022,2022 FIFA Men's World Cup,T-17,Costa Rica,CRI,P-10740,Oviedo,Bryan,8,defender,DF
