key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,full_name,name_norm,team_norm,has_stats,image_count,folder_path,has_image
13083,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-73834,Dendoncker,Leander,19,defender,DF,Leander Dendoncker,leander dendoncker,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Leander Dendoncker,True
13084,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-81997,Vanaken,Hans,20,midfielder,MF,Hans Vanaken,hans vanaken,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Hans Vanaken,True
13085,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-56069,Castagne,Timothy,21,midfielder,MF,Timothy Castagne,timothy castagne,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Timothy Castagne,True
13086,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-61810,De Ketelaere,Charles,22,forward,FW,Charles De Ketelaere,charles de ketelaere,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Charles De Ketelaere,True
13087,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-13975,Batshuayi,Michy,23,forward,FW,Michy Batshuayi,michy batshuayi,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Michy Batshuayi,True
13088,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-70691,Openda,Loïs,24,forward,FW,Loïs Openda,lois openda,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Lo├»s Openda,True
13089,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-29578,Doku,Jérémy,25,forward,FW,Jérémy Doku,jeremy doku,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_J├⌐r├⌐my Doku,True
13090,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-56669,Debast,Zeno,26,defender,DF,Zeno Debast,zeno debast,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Zeno Debast,True
13091,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-21531,Alisson,not applicable,1,goal keeper,GK,Alisson,alisson,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Alisson,True
13092,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-40137,Danilo,not applicable,2,defender,DF,Danilo,danilo,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Danilo,True
13093,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-32798,Silva,Thiago,3,defender,DF,Thiago Silva,thiago silva,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Thiago Silva (captain),True
13094,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-76060,Marquinhos,not applicable,4,defender,DF,Marquinhos,marquinhos,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Marquinhos,True
13095,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-02305,Casemiro,not applicable,5,midfielder,MF,Casemiro,casemiro,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Casemiro,True
13096,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-97698,Sandro,Alex,6,defender,DF,Alex Sandro,alex sandro,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Alex Sandro,True
13097,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-05164,Paquetá,Lucas,7,midfielder,MF,Lucas Paquetá,lucas paqueta,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Lucas Paquet├í,True
13098,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-74941,Fred,not applicable,8,midfielder,MF,Fred,fred,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Fred,True
13099,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-68016,Richarlison,not applicable,9,forward,FW,Richarlison,richarlison,brazil,True,50.0,data\raw\player-images\Images\Images\Group G\Brazil Players\Images_Richarlison,True
