group,image_team,image_player,name_norm,team_norm,image_count,folder_path
Group A,Senegal,Cheikhou Kouyaté,cheikhou kouyate,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Cheikhou Kouyat├⌐
Group A,Senegal,Famara Diédhiou,famara diedhiou,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Famara Di├⌐dhiou
Group A,Senegal,Fodé Ballo-Touré,fode ballo toure,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Fod├⌐ Ballo-Tour├⌐
Group A,Senegal,Formose Mendy,formose mendy,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Formose Mendy
Group A,Senegal,Idrissa Gueye,idrissa gueye,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Idrissa Gueye
Group A,Senegal,Iliman Ndiaye,iliman ndiaye,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Iliman Ndiaye
Group A,Senegal,Ismail Jakobs,ismail jakobs,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Ismail Jakobs
Group A,Senegal,Ismaïla Sarr,ismaila sarr,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Isma├»la Sarr
Group A,Senegal,Kalidou Koulibaly,kalidou koulibaly,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Kalidou Koulibaly (captain)
Group A,Senegal,Krépin Diatta,krepin diatta,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Kr├⌐pin Diatta
Group A,Senegal,Mamadou Loum,mamadou loum,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Mamadou Loum
Group A,Senegal,Moustapha Name,moustapha name,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Moustapha Name
Group A,Senegal,Nampalys Mendy,nampalys mendy,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Nampalys Mendy
Group A,Senegal,Nicolas Jackson,nicolas jackson,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Nicolas Jackson
Group A,Senegal,Pape Abou Cissé,pape abou cisse,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Pape Abou Ciss├⌐
Group A,Senegal,Pape Gueye,pape gueye,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Pape Gueye
Group A,Senegal,Pape Matar Sarr,pape matar sarr,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Pape Matar Sarr
Group A,Senegal,Pathé Ciss,pathe ciss,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Path├⌐ Ciss
Group A,Senegal,Sadio Mané,sadio mane,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Sadio Man├⌐
Group A,Senegal,Seny Dieng,seny dieng,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Seny Dieng
Group A,Senegal,Youssouf Sabaly,youssouf sabaly,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Youssouf Sabaly
Group A,Senegal,Édouard Mendy,edouard mendy,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_├ëdouard Mendy
Group B,England,Aaron Ramsdale,aaron ramsdale,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Aaron Ramsdale
Group B,England,Ben White,ben white,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Ben White
Group B,England,Bukayo Saka,bukayo saka,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Bukayo Saka
Group B,England,Callum Wilson,callum wilson,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Callum Wilson
Group B,England,Conor Coady,conor coady,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Conor Coady
Group B,England,Conor Gallagher,conor gallagher,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Conor Gallagher
Group B,England,Declan Rice,declan rice,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Declan Rice
Group B,England,Eric Dier,eric dier,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Eric Dier
Group B,England,Harry Kane,harry kane,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Harry Kane (captain)
Group B,England,Harry Maguire,harry maguire,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Harry Maguire
Group B,England,Jack Grealish,jack grealish,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Jack Grealish
Group B,England,James Maddison,james maddison,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_James Maddison
Group B,England,John Stones,john stones,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_John Stones
Group B,England,Jordan Henderson,jordan henderson,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Jordan Henderson
Group B,England,Jordan Pickford,jordan pickford,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Jordan Pickford
Group B,England,Jude Bellingham,jude bellingham,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Jude Bellingham
Group B,England,Kalvin Phillips,kalvin phillips,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Kalvin Phillips
Group B,England,Kieran Trippier,kieran trippier,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Kieran Trippier
Group B,England,Kyle Walker,kyle walker,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Kyle Walker
Group B,England,Luke Shaw,luke shaw,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Luke Shaw
Group B,England,Marcus Rashford,marcus rashford,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Marcus Rashford
Group B,England,Mason Mount,mason mount,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Mason Mount
Group B,England,Nick Pope,nick pope,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Nick Pope
Group B,England,Phil Foden,phil foden,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Phil Foden
Group B,England,Raheem Sterling,raheem sterling,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Raheem Sterling
Group B,England,Trent Alexander-Arnold,trent alexander arnold,england,50,data\raw\player-images\Images\Images\Group B\England Players\Images_Trent Alexander-Arnold
Group B,Iran,Abolfazl Jalali,abolfazl jalali,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Abolfazl Jalali
Group B,Iran,Ahmad Nourollahi,ahmad nourollahi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Ahmad Nourollahi
Group B,Iran,Ali Gholizadeh,ali gholizadeh,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Ali Gholizadeh
Group B,Iran,Ali Karimi,ali karimi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Ali Karimi
Group B,Iran,Alireza Beiranvand,alireza beiranvand,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Alireza Beiranvand
Group B,Iran,Alireza Jahanbakhsh,alireza jahanbakhsh,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Alireza Jahanbakhsh
Group B,Iran,Amir Abedzadeh,amir abedzadeh,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Amir Abedzadeh
Group B,Iran,Ehsan Hajsafi,ehsan hajsafi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Ehsan Hajsafi (captain)
Group B,Iran,Hossein Hosseini,hossein hosseini,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Hossein Hosseini
Group B,Iran,Hossein Kanaanizadegan,hossein kanaanizadegan,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Hossein Kanaanizadegan
Group B,Iran,Karim Ansarifard,karim ansarifard,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Karim Ansarifard
Group B,Iran,Majid Hosseini,majid hosseini,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Majid Hosseini
Group B,Iran,Mehdi Taremi,mehdi taremi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Mehdi Taremi
Group B,Iran,Mehdi Torabi,mehdi torabi,iran,50,data\raw\player-images\Images\Images\Group B\Iran Players\Images_Mehdi Torabi
