player_id,full_name,team,folder,ok
P-91029,Mitchell Duke,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Mitchell Duke,True
P-51118,Aziz Behich,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Aziz Behich,True
P-64249,Cameron Devlin,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Cameron Devlin,True
P-11675,Danny Vukovic,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Danny Vukovic,True
P-89217,Harry Souttar,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Harry Souttar,True
P-68599,Thomas Deng,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Thomas Deng,True
P-05864,Garang Kuol,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Garang Kuol,True
P-34822,Jackson Irvine,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Jackson Irvine,True
P-82010,Craig Goodwin,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Craig Goodwin,True
P-53409,Joel King,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Joel King,True
P-67089,Jason Cummings,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Jason Cummings,True
P-27035,Keanu Baccus,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Keanu Baccus,True
P-09658,Thibaut Courtois,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Thibaut Courtois,True
P-70547,Toby Alderweireld,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Toby Alderweireld,True
P-75820,Arthur Theate,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Arthur Theate,True
P-61413,Wout Faes,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Wout Faes,True
P-64049,Jan Vertonghen,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Jan Vertonghen,True
P-53048,Axel Witsel,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Axel Witsel,True
P-48955,Kevin De Bruyne,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Kevin De Bruyne,True
P-47906,Youri Tielemans,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Youri Tielemans,True
P-72637,Romelu Lukaku,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Romelu Lukaku,True
P-72011,Eden Hazard,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Eden Hazard (captain),True
P-06338,Yannick Carrasco,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Yannick Carrasco,True
P-10313,Simon Mignolet,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Simon Mignolet,True
P-88715,Koen Casteels,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Koen Casteels,True
P-84852,Dries Mertens,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Dries Mertens,True
P-22930,Thomas Meunier,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Thomas Meunier,True
P-74337,Thorgan Hazard,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Thorgan Hazard,True
P-95312,Leandro Trossard,Belgium,data/raw/player-images/Images/Images/Group F/Belgium Players/Images_Leandro Trossard,True
